service_date,day_of_week,is_weekend,is_federal_holiday,is_spring_recess,is_summer_break,is_single_day_school_closure,is_school_day,major_event_count,event_count,has_event,has_any_event
2026-06-02,2,false,false,false,false,false,true,0,0,false,false
2026-06-03,3,false,false,false,false,false,true,0,0,false,false
2026-06-04,4,false,false,false,false,true,false,0,0,false,false
2026-06-05,5,false,false,false,false,false,true,0,0,false,false
2026-06-06,6,true,false,false,false,false,false,0,0,false,false
2026-06-07,7,true,false,false,false,false,false,0,0,false,false
2026-06-08,1,false,false,false,false,false,true,0,0,false,false
2026-06-09,2,false,false,false,false,false,true,0,0,false,false
2026-06-10,3,false,false,false,false,false,true,0,0,false,false
2026-06-11,4,false,false,false,false,false,true,0,0,false,false
2026-06-12,5,false,false,false,false,false,true,0,0,false,false
2026-06-13,6,true,false,false,false,false,false,0,0,false,false
2026-06-14,7,true,false,false,false,false,false,1,0,false,true
2026-06-15,1,false,false,false,false,false,true,0,0,false,false
2026-06-16,2,false,false,false,false,false,true,0,0,false,false
2026-06-17,3,false,false,false,false,false,true,0,0,false,false
2026-06-18,4,false,false,false,false,false,true,0,0,false,false
2026-06-19,5,false,true,false,false,true,false,0,0,false,false
2026-06-20,6,true,false,false,false,false,false,0,0,false,false
2026-06-21,7,true,false,false,false,false,false,0,0,false,false
2026-06-22,1,false,false,false,false,false,true,0,0,false,false
2026-06-23,2,false,false,false,false,false,true,0,0,false,false
2026-06-24,3,false,false,false,false,false,true,0,0,false,false
2026-06-25,4,false,false,false,false,false,true,0,0,false,false
2026-06-26,5,false,false,false,false,false,true,0,0,false,false
2026-06-27,6,true,false,false,true,false,false,0,0,false,false
2026-06-28,7,true,false,false,true,false,false,1,0,false,true
2026-06-29,1,false,false,false,true,false,false,0,0,false,false
2026-06-30,2,false,false,false,true,false,false,0,0,false,false
2026-07-01,3,false,false,false,true,false,false,0,0,false,false
2026-07-02,4,false,false,false,true,false,false,0,0,false,false
2026-07-03,5,false,true,false,true,false,false,1,0,false,true
2026-07-04,6,true,false,false,true,false,false,2,0,false,true
2026-07-05,7,true,false,false,true,false,false,1,0,false,true
2026-07-06,1,false,false,false,true,false,false,1,0,false,true
2026-07-07,2,false,false,false,true,false,false,1,0,false,true
2026-07-08,3,false,false,false,true,false,false,1,0,false,true
2026-07-09,4,false,false,false,true,false,false,0,0,false,false
2026-07-10,5,false,false,false,true,false,false,0,0,false,false
2026-07-11,6,true,false,false,true,false,false,0,0,false,false
2026-07-12,7,true,false,false,true,false,false,0,0,false,false
2026-07-13,1,false,false,false,true,false,false,0,0,false,false
2026-07-14,2,false,false,false,true,false,false,0,0,false,false
2026-07-15,3,false,false,false,true,false,false,0,0,false,false
2026-07-16,4,false,false,false,true,false,false,0,0,false,false
2026-07-17,5,false,false,false,true,false,false,0,0,false,false
